COVID-19 Vaccinations Equity
Date generated: Mon Oct 04 2021 17:46:26 GMT+0100 (British Summer Time)
County,State,SVI,County of Residence Reporting Completeness,Percent of total population fully vaccinated,Percent of 12+ pop fully vaccinated,Percent of 18+ pop fully vaccinated,Percent of 65+ pop fully vaccinated
Autauga County,AL ,Low-Mod,92.5,34,39.9,41.8,61.7
Baldwin County,AL ,Low,92.5,42.7,49.5,51.9,75.3
Barbour County,AL ,High,92.5,35.7,41.1,43,66.1
Bibb County,AL ,Mod-High,92.5,29.7,34.2,35.7,57
Blount County,AL ,Low-Mod,92.5,26.4,31,32.9,49.5
Bullock County,AL ,High,92.5,43.1,50.2,51.5,72.9
Butler County,AL ,High,92.5,33.8,39.4,41.4,59.3
Calhoun County,AL ,High,92.5,39.5,45.9,48.3,74.1
Chambers County,AL ,Mod-High,92.5,26.8,31.1,32.6,48.5
Cherokee County,AL ,Low-Mod,92.5,27.4,31.1,32.8,50.2
Chilton County,AL ,High,92.5,30,35.6,37.5,59.9
Choctaw County,AL ,High,92.5,55.7,63.5,67.1,87.5
Clarke County,AL ,High,92.5,44.4,51.4,53.8,73.3
Clay County,AL ,Mod-High,92.5,36.2,41.8,44,58.7
Cleburne County,AL ,Mod-High,92.5,26.7,31.3,33.4,53.5
Coffee County,AL ,Mod-High,92.5,33,39,41.4,68.7
Colbert County,AL ,Low-Mod,92.5,42,48.7,50.6,73
Conecuh County,AL ,High,92.5,35.9,41.5,43.6,59
Coosa County,AL ,Mod-High,92.5,35,39.2,40.7,59.9
Covington County,AL ,High,92.5,33,38.5,40.7,61.1
Crenshaw County,AL ,Mod-High,92.5,29.4,34.5,36.9,59.2
Cullman County,AL ,Mod-High,92.5,33.6,39.5,41.9,66.4
Dale County,AL ,High,92.5,44.9,53.1,56.6,72.2
Dallas County,AL ,High,92.5,36.1,42.5,44.8,63.4
DeKalb County,AL ,High,92.5,28,33,35.5,54.6
Elmore County,AL ,Mod-High,92.5,37,43.3,45.7,75.4
Escambia County,AL ,High,92.5,30.8,36.1,38.4,65.4
Etowah County,AL ,Mod-High,92.5,35,40.7,42.8,65.6
Fayette County,AL ,Mod-High,92.5,29.8,34.6,36.5,56.2
Franklin County,AL ,High,92.5,37.7,45.1,48.1,74.2
Geneva County,AL ,High,92.5,32.9,38.3,41.2,67.4
Greene County,AL ,High,92.5,41.4,48.2,50.5,66.9
Hale County,AL ,High,92.5,52.5,62.2,64.4,78.6
Henry County,AL ,Mod-High,92.5,38.4,44.1,46.8,67.5
Houston County,AL ,Mod-High,92.5,36.6,43.1,45.6,69.5
Jackson County,AL ,Mod-High,92.5,41.2,47.4,50.2,77.4
Jefferson County,AL ,Mod-High,92.5,49.1,58,60,84.3
Lamar County,AL ,Mod-High,92.5,37.6,43.5,46.6,71
Lauderdale County,AL ,Low-Mod,92.5,40.2,46,48.2,70.6
Lawrence County,AL ,Low-Mod,92.5,40.6,47.2,50.1,78.2
Lee County,AL ,Mod-High,92.5,33.7,39.2,40.6,60.5
Limestone County,AL ,Mod-High,92.5,31.6,36.8,39,65.5
Lowndes County,AL ,High,92.5,41,48.2,50,70
Macon County,AL ,High,92.5,40,45.1,45.8,64.6
Madison County,AL ,Low-Mod,92.5,51.8,60.3,62.1,84.7
Marengo County,AL ,High,92.5,47.2,55.4,57.8,76.4
Marion County,AL ,Mod-High,92.5,31.4,36.2,38.5,58.8
Marshall County,AL ,Mod-High,92.5,38.5,46.2,49.2,75.3
Mobile County,AL ,High,92.5,41.6,49.3,51.5,73.6
Monroe County,AL ,Mod-High,92.5,37.3,42.9,45.1,59.8
Montgomery County,AL ,High,92.5,43.9,52.1,53.9,71.8
Morgan County,AL ,Mod-High,92.5,37.3,43.8,46.5,72.5
Perry County,AL ,High,92.5,41.8,48.5,49.9,66.9
Pickens County,AL ,High,92.5,41.4,47.4,49.3,66.6
Pike County,AL ,High,92.5,35.1,40.2,41.3,74.9
Randolph County,AL ,Mod-High,92.5,28.5,33.1,35.6,57.4
Russell County,AL ,High,92.5,32.2,38.5,40.3,69.7
Shelby County,AL ,Low,92.5,30.9,36.2,37.5,47.9
St. Clair County,AL ,Low-Mod,92.5,33.6,39.5,41.7,65.7
Sumter County,AL ,High,92.5,42.4,48.6,49.4,71.2
Talladega County,AL ,High,92.5,31.6,36.5,38.4,60.4
Tallapoosa County,AL ,High,92.5,33.8,39.1,41,61.8
Tuscaloosa County,AL ,Mod-High,92.5,37.5,43.8,45,71.5
Walker County,AL ,Mod-High,92.5,40.6,47.7,50.4,76.5
Washington County,AL ,Mod-High,92.5,40.7,47.1,50.2,76
Wilcox County,AL ,High,92.5,45,52.9,55.2,71.5
Winston County,AL ,Mod-High,92.5,19.1,21.9,23.3,36.5
Aleutians East Borough,AK ,Mod-High,96.6,68.3,71.9,70.8,45.6
Aleutians West CA,AK ,Low-Mod,96.6,54.6,59.2,59.1,58.2
Anchorage Muny,AK ,Low-Mod,96.6,54.3,64.8,66.6,87.3
