Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity
10/03/2021,1001,40,Autauga County,AL,34,18997,18996,39.9,17927,41.8,5506,61.7,92.5,24055,43.1,24053,50.6,22573,52.6,6644,74.5,B,6,6,7,7,Metro,2,2,3,3
10/03/2021,1003,40,Baldwin County,AL,42.7,95419,95417,49.5,91130,51.9,35240,75.3,92.5,121345,54.4,121340,63,115384,65.7,42681,91.1,A,3,3,4,4,Metro,3,3,4,4
10/03/2021,1005,40,Barbour County,AL,35.7,8801,8801,41.1,8426,43,3211,66.1,92.5,11509,46.6,11508,53.8,10969,56,3711,76.3,D,14,15,15,15,Non-metro,6,7,7,7
10/03/2021,1007,40,Bibb County,AL,29.7,6661,6661,34.2,6370,35.7,2129,57,92.5,8343,37.3,8339,42.8,7977,44.7,2407,64.5,C,9,10,10,11,Metro,1,2,2,3
10/03/2021,1009,40,Blount County,AL,26.4,15249,15249,31,14658,32.9,5356,49.5,92.5,18944,32.8,18940,38.5,18106,40.6,6198,57.3,B,5,6,6,6,Metro,1,2,2,2
10/03/2021,1011,40,Bullock County,AL,43.1,4354,4354,50.2,4114,51.5,1248,72.9,92.5,5385,53.3,5383,62,5070,63.4,1459,85.3,D,15,16,16,16,Non-metro,7,8,8,8
10/03/2021,1013,40,Butler County,AL,33.8,6569,6569,39.4,6288,41.4,2402,59.3,92.5,8526,43.8,8526,51.1,8130,53.6,2974,73.5,D,14,14,15,15,Non-metro,6,6,7,7
10/03/2021,1015,40,Calhoun County,AL,39.5,44901,44901,45.9,43048,48.3,15224,74.1,92.5,55387,48.8,55385,56.7,52788,59.2,17549,85.4,D,14,15,15,16,Metro,2,3,3,4
10/03/2021,1017,40,Chambers County,AL,26.8,8902,8902,31.1,8581,32.6,3254,48.5,92.5,10779,32.4,10779,37.7,10355,39.3,3692,55,C,9,10,10,10,Non-metro,5,6,6,6
10/03/2021,1019,40,Cherokee County,AL,27.4,7166,7166,31.1,6977,32.8,3097,50.2,92.5,8689,33.2,8689,37.7,8444,39.7,3574,58,B,5,6,6,7,Non-metro,5,6,6,7
10/03/2021,1021,40,Chilton County,AL,30,13337,13336,35.6,12684,37.5,4556,59.9,92.5,16788,37.8,16785,44.8,15931,47.1,5360,70.5,D,14,14,14,15,Metro,2,2,2,3
10/03/2021,1023,40,Choctaw County,AL,55.7,7006,7006,63.5,6787,67.1,2598,87.5,92.5,8880,70.5,8878,80.5,8547,84.5,3197,99.9,D,16,16,16,16,Non-metro,8,8,8,8
10/03/2021,1025,40,Clarke County,AL,44.4,10482,10482,51.4,9995,53.8,3552,73.3,92.5,13220,56,13219,64.8,12585,67.7,4226,87.3,D,15,16,16,16,Non-metro,7,8,8,8
10/03/2021,1027,40,Clay County,AL,36.2,4796,4795,41.8,4644,44,1636,58.7,92.5,6040,45.6,6038,52.6,5847,55.3,2124,76.3,C,10,11,11,11,Non-metro,6,7,7,7
10/03/2021,1029,40,Cleburne County,AL,26.7,3974,3974,31.3,3859,33.4,1609,53.5,92.5,4888,32.8,4887,38.5,4729,40.9,1864,62,C,9,10,10,11,Non-metro,5,6,6,7
10/03/2021,1031,40,Coffee County,AL,33,17272,17271,39,16545,41.4,6201,68.7,92.5,21274,40.6,21271,48,20252,50.7,7018,77.7,C,10,10,11,11,Non-metro,6,6,7,7
10/03/2021,1033,40,Colbert County,AL,42,23187,23187,48.7,22120,50.6,8075,73,92.5,27783,50.3,27781,58.4,26409,60.5,9193,83.1,B,7,7,8,8,Metro,3,3,4,4
10/03/2021,1035,40,Conecuh County,AL,35.9,4337,4337,41.5,4187,43.6,1670,59,92.5,5882,48.7,5882,56.3,5629,58.7,2160,76.3,D,14,15,15,15,Non-metro,6,7,7,7
10/03/2021,1037,40,Coosa County,AL,35,3734,3734,39.2,3625,40.7,1537,59.9,92.5,4496,42.2,4495,47.1,4356,48.9,1792,69.8,C,10,10,11,11,Non-metro,6,6,7,7
10/03/2021,1039,40,Covington County,AL,33,12208,12208,38.5,11761,40.7,4841,61.1,92.5,15275,41.2,15274,48.2,14702,50.9,5814,73.4,D,14,14,15,15,Non-metro,6,6,7,7
10/03/2021,1041,40,Crenshaw County,AL,29.4,4054,4054,34.5,3921,36.9,1582,59.2,92.5,5067,36.8,5067,43.1,4876,45.8,1887,70.6,C,9,10,10,11,Non-metro,5,6,6,7
10/03/2021,1043,40,Cullman County,AL,33.6,28159,28158,39.5,27246,41.9,10455,66.4,92.5,33606,40.1,33601,47.1,32379,49.8,11641,74,C,10,10,11,11,Non-metro,6,6,7,7
10/03/2021,1045,40,Dale County,AL,44.9,22063,22063,53.1,21484,56.6,6139,72.2,92.5,26042,53,26042,62.7,25215,66.4,6768,79.6,D,15,16,16,16,Non-metro,7,8,8,8
10/03/2021,1047,40,Dallas County,AL,36.1,13428,13428,42.5,12786,44.8,4449,63.4,92.5,18433,49.6,18429,58.3,17483,61.3,5853,83.4,D,14,15,15,15,Non-metro,6,7,7,7
