Client County Name,Estimated Coverage (12+ 1 Dose),Estimated Coverage (12+ Fully),Estimated Coverage (65+ 1 Dose),Estimated Coverage (65+ Fully),Percentage of Population Vaccinated,County Name ,PHR Critical Pop,Latitude (generated),Longitude (generated),FULLY_VACCINATED_CALC,Population 16Up,TOTAL_PEOPLE_CALC
ANDERSON,0.4723752,0.405321648,0.699006699,60.76%,0.4723752,Anderson,4/5N,31.7951,-95.6887,20534,48045,23931
ANDREWS,0.549888986,0.476552513,0.868521549,79.81%,0.549888986,Andrews,09-Oct,32.2885,-102.6379,7083,13503,8173
ANGELINA,0.539800789,0.469249234,0.793856608,74.03%,0.539800789,Angelina,4/5N,31.2769,-94.6355,34014,67056,39128
ARANSAS,0.703849477,0.61313238,0.900161979,81.86%,0.703849477,Aransas,11,28.2209,-96.8754,12774,19803,14664
ARCHER,0.548321603,0.493502978,0.785927251,74.72%,0.548321603,Archer,02-Mar,33.6138,-98.6883,3646,6921,4051
ARMSTRONG,0.460858586,0.391414141,0.665957447,60.21%,0.460858586,Armstrong,1,34.9658,-101.3572,620,1499,730
ATASCOSA,0.607599789,0.523096459,0.776857331,69.39%,0.607599789,Atascosa,8,28.9347,-98.5218,21833,38768,25360
AUSTIN,0.596092362,0.515176633,0.851508512,77.60%,0.596092362,Austin,6/5S,29.8495,-96.275,13052,23704,15102
BAILEY,0.506692843,0.419061217,0.731660232,67.08%,0.506692843,Bailey,1,34.0706,-102.8295,2348,5089,2839
BANDERA,0.507962711,0.445280637,0.66438888,60.04%,0.507962711,Bandera,8,29.729,-99.2012,9171,19763,10462
BASTROP,0.707481159,0.581667183,0.842264695,72.07%,0.707481159,Bastrop,7,30.1035,-97.3242,43144,68839,52476
BAYLOR,0.49131016,0.443181818,0.779620853,74.76%,0.49131016,Baylor,02-Mar,33.616,-99.2137,1326,2793,1470
BEE,0.589141756,0.501676536,0.865802982,80.13%,0.589141756,Bee,11,28.4248,-97.7101,14064,26496,16516
BELL,0.511195131,0.435241858,0.78260226,71.73%,0.511195131,Bell,7,31.0402,-97.51,128355,272969,150754
BEXAR,0.772964118,0.665143048,0.889684195,79.57%,0.772964118,Bexar,8,29.4377,-98.4722,1105211,1552823,1284368
BLANCO,0.602094735,0.532364597,0.851198402,78.60%,0.602094735,Blanco,7,30.2172,-98.4077,5642,10092,6381
BORDEN,0.393673111,0.344463972,0.413793103,39.66%,0.393673111,Borden,09-Oct,32.7474,-101.4322,196,543,224
BOSQUE,0.527622595,0.453693358,0.724952542,65.51%,0.527622595,Bosque,7,31.8982,-97.6486,7309,15224,8500
BOWIE,0.423542103,0.358093788,0.685573522,61.29%,0.423542103,Bowie,4/5N,33.4761,-94.3949,28216,73689,33373
BRAZORIA,0.684631066,0.6128411,0.88249694,81.37%,0.684631066,Brazoria,6/5S,29.2123,-95.5313,190289,287683,212580
BRAZOS,0.607061388,0.523023195,0.935416955,86.19%,0.607061388,Brazos,7,30.6529,-96.3806,103636,186843,120288
BREWSTER,0.655185231,0.550117705,0.73419991,64.68%,0.655185231,Brewster,09-Oct,29.8231,-103.0823,4440,7706,5288
